timestamp,victim_TEC,attacker_TEC,state
1775232679.363384,0,0,victim_identification
1775232679.463605,0,0,victim_identification
1775232679.5641606,0,0,victim_identification
1775232679.6647344,0,0,victim_identification
1775232679.7649572,0,0,victim_identification
1775232679.8702586,0,0,victim_identification
1775232679.970492,0,0,victim_identification
1775232680.0709665,0,0,victim_identification
1775232680.1712146,0,0,victim_identification
1775232680.2714372,0,0,victim_identification
1775232680.3716524,0,0,victim_identification
1775232680.4718823,0,0,victim_identification
1775232680.5721164,0,0,victim_identification
1775232680.6723967,0,0,victim_identification
1775232680.7755256,0,0,victim_identification
1775232680.8757753,0,0,victim_identification
1775232680.9760273,0,0,victim_identification
1775232681.0780933,0,0,victim_identification
1775232681.1870394,0,0,victim_identification
1775232681.2916527,0,0,victim_identification
1775232681.3972075,0,0,victim_identification
1775232681.4974298,0,0,victim_identification
1775232681.5979497,0,0,victim_identification
1775232681.6983216,0,0,victim_identification
1775232681.7988005,0,0,victim_identification
1775232681.899016,0,0,victim_identification
1775232682.0031834,0,0,victim_identification
1775232682.10344,0,0,victim_identification
1775232682.2089932,0,0,victim_identification
1775232682.3092053,0,0,victim_identification
1775232682.409433,0,0,victim_identification
1775232682.5096343,0,0,victim_identification
1775232682.609869,0,0,victim_identification
1775232682.7100828,0,0,victim_identification
1775232682.8108926,0,0,victim_identification
1775232682.935307,0,0,victim_identification
1775232683.0407405,0,0,victim_identification
1775232683.1409664,0,0,victim_identification
1775232683.241185,0,0,victim_identification
1775232683.341397,0,0,victim_identification
1775232683.4418118,0,0,victim_identification
1775232683.5420158,0,0,victim_identification
1775232683.6422231,0,0,victim_identification
1775232683.7424448,0,0,victim_identification
1775232683.903096,0,0,victim_identification
1775232684.0137563,0,0,victim_identification
1775232684.1139638,0,0,victim_identification
1775232684.2142308,0,0,victim_identification
1775232684.3144577,0,0,victim_identification
1775232684.41466,0,0,victim_identification
1775232684.5152538,0,0,victim_identification
1775232684.6158504,0,0,victim_identification
1775232684.7176147,0,0,victim_identification
1775232684.8231301,0,0,victim_identification
1775232684.9236968,0,0,victim_identification
1775232685.0719411,0,0,victim_identification
1775232685.184638,0,0,victim_identification
1775232685.2848814,0,0,victim_identification
1775232685.3852599,0,0,victim_identification
1775232685.4857676,0,0,victim_identification
1775232685.5860054,0,0,victim_identification
1775232685.6862075,0,0,victim_identification
1775232685.7882674,0,0,victim_identification
1775232685.8936808,0,0,victim_identification
1775232685.9940655,0,0,victim_identification
1775232686.0942883,0,0,victim_identification
1775232686.1947167,0,0,victim_identification
1775232686.2949774,0,0,victim_identification
1775232686.3951936,0,0,victim_identification
1775232686.4997547,0,0,victim_identification
1775232686.6050928,0,0,victim_identification
1775232686.707007,0,0,victim_identification
1775232686.8072906,0,0,victim_identification
1775232686.9079857,0,0,victim_identification
1775232687.0082068,0,0,victim_identification
1775232687.1108425,0,0,victim_identification
1775232687.216369,0,0,victim_identification
1775232687.3415403,0,0,victim_identification
1775232687.4606144,0,0,victim_identification
1775232687.5610726,0,0,victim_identification
1775232687.6667671,0,0,victim_identification
1775232687.7670257,0,0,victim_identification
1775232687.8672445,0,0,victim_identification
1775232687.9674647,0,0,victim_identification
1775232688.0678582,0,0,victim_identification
